Index,AccX,AccY,AccZ,MagX,MagY,MagZ,GyrX,GyrY,GyrZ,Alt,Temp
1,0.986248,0.009760,-0.087352,73.599998,13.700000,78.000000,8,-42,2,80.750000,"30.000000
"
2,0.984784,0.011712,-0.063440,72.199997,13.000000,78.800003,20,10,6,80.750000,"30.000000
"
3,0.984784,0.015616,-0.064904,72.599998,12.900000,79.099998,17,-7,-6,80.000000,"31.937500
"
4,0.983808,0.016592,-0.061488,72.699997,11.200000,77.000000,17,-9,3,80.000000,"31.000000
"
5,0.987224,0.012688,-0.063440,73.199997,12.100000,81.300003,32,-5,7,80.000000,"31.000000
"
6,0.979416,0.013664,-0.062464,73.900002,13.600000,79.199997,17,-6,-2,81.500000,"30.937500
"
7,0.980880,0.010736,-0.060512,74.300003,11.900000,78.400002,36,-4,7,81.500000,"30.000000
"
8,0.982832,0.019032,-0.062952,73.300003,13.400000,77.599998,19,-8,7,81.500000,"30.000000
"
9,0.980392,0.019520,-0.064904,73.599998,11.800000,77.000000,2,-8,-4,81.250000,"30.937500
"
10,0.988200,0.016592,-0.059536,72.199997,14.000000,79.599998,49,-6,-3,81.250000,"30.937500
"
11,0.983808,0.014640,-0.059536,72.599998,13.600000,77.900002,34,-3,7,81.250000,"30.000000
"
12,0.981856,0.018544,-0.058560,73.099998,12.600000,79.699997,11,-17,-1,81.250000,"30.937500
"
13,0.977952,0.009760,-0.060512,73.300003,11.600000,77.900002,25,-10,-3,82.062500,"30.937500
"
14,0.981368,0.012688,-0.060512,72.699997,12.300000,76.500000,22,-12,5,82.062500,"30.000000
"
15,0.995032,0.010736,-0.057584,73.199997,13.200000,76.300003,38,-11,-7,82.062500,"30.937500
"
16,0.975512,0.020008,-0.063440,73.000000,13.500000,79.400002,34,-7,-1,79.625000,"31.937500
"
17,0.982832,0.020008,-0.059536,73.900002,12.600000,77.500000,21,-11,5,79.625000,"31.000000
"
18,0.978928,0.010736,-0.061488,74.099998,13.200000,77.199997,26,-1,-6,79.625000,"31.937500
"
19,0.981368,0.013664,-0.068808,71.599998,12.500000,76.400002,26,-4,-3,80.812500,"30.937500
"
20,0.974536,0.016592,-0.064904,73.599998,13.000000,79.800003,34,12,-3,80.812500,"30.937500
"
21,0.980392,0.015128,-0.061488,73.300003,13.200000,79.800003,18,-19,-5,80.812500,"30.937500
"
22,0.980392,0.015616,-0.058560,74.099998,12.200000,79.400002,34,-25,-12,80.562500,"30.937500
"
23,0.980880,0.012688,-0.059536,74.500000,11.800000,79.800003,23,-26,4,80.562500,"30.000000
"
24,0.980392,0.018056,-0.059536,72.400002,12.200000,77.599998,20,5,-5,80.562500,"30.937500
"
25,0.985760,0.017568,-0.057584,74.099998,12.200000,76.699997,29,-18,4,80.000000,"30.000000
"
26,0.981856,0.013176,-0.061488,72.699997,13.000000,77.400002,14,-6,1,80.000000,"30.000000
"
27,0.987224,0.013176,-0.063440,73.300003,11.500000,77.099998,31,-27,2,80.000000,"30.000000
"
28,0.988688,0.020008,-0.060512,73.500000,13.100000,78.900002,47,-20,-9,81.500000,"30.937500
"
29,0.987224,0.007808,-0.057584,74.300003,13.300000,78.900002,28,-17,5,81.500000,"30.000000
"
30,0.984784,0.017568,-0.060512,72.900002,13.400000,79.300003,36,-3,9,81.500000,"30.000000
"
31,0.980880,0.016592,-0.062464,74.599998,12.300000,78.599998,41,-25,-7,77.875000,"31.937500
"
32,0.987224,0.020008,-0.060512,72.500000,13.200000,78.199997,20,4,8,77.875000,"31.000000
"
33,0.979416,0.013664,-0.059536,72.199997,12.600000,78.099998,15,-4,-11,77.875000,"31.937500
"
34,0.985760,0.012688,-0.064904,72.599998,13.500000,76.500000,21,-12,-4,83.250000,"30.937500
"
35,0.983808,0.011712,-0.060512,72.900002,13.600000,78.599998,26,-5,8,83.250000,"30.000000
"
36,0.983808,0.019032,-0.060512,73.199997,11.200000,79.300003,24,-13,-3,83.250000,"30.937500
"
